id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
10083,5892,tertiary,Ideongatan,239.437621,13.22074054,55.7156676
10084,5892,tertiary,Ideongatan,239.437621,13.21994545,55.71568571
10085,5892,tertiary,Ideongatan,239.437621,13.2191503,55.71570303
10086,5893,tertiary,Ideongatan,286.6872363,13.22523595,55.71559491
10087,5893,tertiary,Ideongatan,286.6872363,13.22602944,55.71562854
10088,5893,tertiary,Ideongatan,286.6872363,13.22682117,55.71567215
10089,5893,tertiary,Ideongatan,286.6872363,13.22759503,55.71577515
10090,5893,tertiary,Ideongatan,286.6872363,13.22836448,55.71588967
10091,5894,tertiary,Scheelevägen,66.86736108,13.21357929,55.71809622
10092,5895,service, ,157.5246113,13.21367984,55.68550077
10093,5895,service, ,157.5246113,13.2133368,55.6857583
10094,5895,service, ,157.5246113,13.21302861,55.68540083
10095,5896,service, ,131.3857715,13.21270074,55.6858592
10096,5896,service, ,131.3857715,13.21294599,55.6862865
10097,5898,service, ,102.5215691,13.21163053,55.68450893
10098,5898,service, ,102.5215691,13.2114456,55.68408285
10099,5901,service, ,50.61488943,13.1900788,55.69670378
10100,5902,cycleway, ,168.5827029,13.18967884,55.69749898
10101,5902,cycleway, ,168.5827029,13.18944445,55.69706974
10102,5902,cycleway, ,168.5827029,13.18921367,55.69663986
10103,5903,cycleway, ,118.3437918,13.2339148,55.71926687
10104,5903,cycleway, ,118.3437918,13.23443079,55.71909306
10105,5904,cycleway, ,157.8661187,13.23581385,55.71798089
10106,5904,cycleway, ,157.8661187,13.23510631,55.71818627
10107,5904,cycleway, ,157.8661187,13.23440033,55.7183935
10108,5905,secondary,Sandbyvägen,51.49544065,13.2531453,55.70508325
10109,5906,cycleway, ,385.710308,13.19859562,55.71452746
10110,5906,cycleway, ,385.710308,13.19803279,55.71421079
10111,5906,cycleway, ,385.710308,13.19751769,55.71386846
10112,5906,cycleway, ,385.710308,13.19701154,55.7135221
10113,5906,cycleway, ,385.710308,13.19647825,55.71318873
10114,5906,cycleway, ,385.710308,13.19594242,55.71285681
10115,5906,cycleway, ,385.710308,13.19540338,55.7125273
10116,5908,residential,Kollegievägen,87.10081809,13.24367386,55.70506858
10117,5913,cycleway, ,82.3529209,13.21960195,55.69724353
10118,5914,service, ,134.9485155,13.21846936,55.69581181
10119,5914,service, ,134.9485155,13.21776068,55.69586169
10120,5915,service, ,68.43439247,13.21915818,55.69684147
10121,5917,path, ,66.27173726,13.21905504,55.69720277
10122,5918,residential,Ideontorget,83.41409119,13.21400889,55.71564028
10123,5919,living_street,Solbjerstorget,70.28351673,13.23264069,55.71768962
10124,5920,service,Carin Boalts väg,74.91048739,13.20970193,55.71361846
10125,5926,service,Vildandsvägen,108.1170174,13.16727147,55.70969263
10126,5926,service,Vildandsvägen,108.1170174,13.1678515,55.70999993
10127,5927,cycleway,Vildandsvägen,110.3729317,13.16851993,55.71036012
10128,5927,cycleway,Vildandsvägen,110.3729317,13.16909509,55.71067048
10129,5930,residential,Vildandsvägen,58.21184934,13.16578562,55.70889276
10130,5935,residential,Råbylundsvägen,435.9047531,13.2394536,55.69056018
10131,5935,residential,Råbylundsvägen,435.9047531,13.23865896,55.69057745
10132,5935,residential,Råbylundsvägen,435.9047531,13.23786811,55.69056794
10133,5935,residential,Råbylundsvägen,435.9047531,13.2371246,55.69040906
10134,5935,residential,Råbylundsvägen,435.9047531,13.23638761,55.69024032
10135,5935,residential,Råbylundsvägen,435.9047531,13.23565105,55.690071
10136,5935,residential,Råbylundsvägen,435.9047531,13.23491594,55.68989978
